Id,Physical_Table_Name,Name,Espace_Id,SS_Key,Multitenant,Multitenant_View,Is_Active,Is_External,Is_System,Description,PrimaryKey_SS_Key,Extension_Id,Generation,Is_Active_Attribute,Label_Attribute,Order_By_Attribute,Data_Kind,Multilingual,LogicalDatabase,Multilingual_Table_Name,Expose_Process_Events,Event_Table_Name,Base_View_Name,Id,Physical_Table_Name,Name,Espace_Id,SS_Key,Multitenant,Multitenant_View,Is_Active,Is_External,Is_System,Description,PrimaryKey_SS_Key,Extension_Id,Generation,Is_Active_Attribute,Label_Attribute,Order_By_Attribute,Data_Kind,Multilingual,LogicalDatabase,Multilingual_Table_Name,Expose_Process_Events,Event_Table_Name,Base_View_Name,Id,Entity_Id,Name,Description,SS_Key,Type,Length,Decimals,Is_Mandatory,Is_AutoNumber,Delete_Rule,Default_Label,Default_Value,Is_Active,Order_Num,Original_Type,Database_Name
977,OSUSR_12t_ReferenceCategory,ReferenceCategory,113,205923c5-4a4b-4cba-8bd7-5df9d19a726a,False,False,True,False,False,,4a8f2b42-8354-44e1-b558-5b63ab0a0e02,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategory,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5959,977,Id,,4a8f2b42-8354-44e1-b558-5b63ab0a0e02,rtLongInteger,0,0,True,True,Protect,Id,,True,0,,
977,OSUSR_12t_ReferenceCategory,ReferenceCategory,113,205923c5-4a4b-4cba-8bd7-5df9d19a726a,False,False,True,False,False,,4a8f2b42-8354-44e1-b558-5b63ab0a0e02,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategory,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5960,977,Key,,5bc9db46-0c4f-4cd8-87f2-e6f1780f81e3,rtText,50,0,True,False,Protect,Key,,True,1,,
977,OSUSR_12t_ReferenceCategory,ReferenceCategory,113,205923c5-4a4b-4cba-8bd7-5df9d19a726a,False,False,True,False,False,,4a8f2b42-8354-44e1-b558-5b63ab0a0e02,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategory,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5961,977,Name,,599a761a-6524-4d8e-9bf1-1e6bb75c16d3,rtText,50,0,True,False,Protect,Name,,True,2,,
977,OSUSR_12t_ReferenceCategory,ReferenceCategory,113,205923c5-4a4b-4cba-8bd7-5df9d19a726a,False,False,True,False,False,,4a8f2b42-8354-44e1-b558-5b63ab0a0e02,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategory,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5962,977,IsRequired,,4729d116-94ff-46ba-b28f-056cb62ce063,rtBoolean,0,0,False,False,Protect,Is Required,False,True,3,,
977,OSUSR_12t_ReferenceCategory,ReferenceCategory,113,205923c5-4a4b-4cba-8bd7-5df9d19a726a,False,False,True,False,False,,4a8f2b42-8354-44e1-b558-5b63ab0a0e02,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategory,,978,OSUSR_12t_Project,Project,113,366126b0-5950-42ee-bf9b-1360a724c6f4,False,False,True,False,False,,bb2bac12-db52-44ce-abc7-d3ac92dccdc3,0,0,,,,entity,False,,,False,OSEVT_12t_Project,,5963,977,ProjectId,,8ae74169-155b-4389-8890-9578342736b3,bt5ef0e4bf-624b-4f2d-ab66-1cc2c6913c4d*366126b0-5950-42ee-bf9b-1360a724c6f4,0,0,True,False,Protect,Project,,True,4,,
978,OSUSR_12t_Project,Project,113,366126b0-5950-42ee-bf9b-1360a724c6f4,False,False,True,False,False,,bb2bac12-db52-44ce-abc7-d3ac92dccdc3,0,0,,,,entity,False,,,False,OSEVT_12t_Project,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5964,978,Id,,bb2bac12-db52-44ce-abc7-d3ac92dccdc3,rtLongInteger,0,0,True,True,Protect,Id,,True,0,,
978,OSUSR_12t_Project,Project,113,366126b0-5950-42ee-bf9b-1360a724c6f4,False,False,True,False,False,,bb2bac12-db52-44ce-abc7-d3ac92dccdc3,0,0,,,,entity,False,,,False,OSEVT_12t_Project,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5965,978,Key,,c7568447-07ef-4d1c-9f26-e14bcb5440dd,rtText,50,0,True,False,Protect,Key,,True,1,,
978,OSUSR_12t_Project,Project,113,366126b0-5950-42ee-bf9b-1360a724c6f4,False,False,True,False,False,,bb2bac12-db52-44ce-abc7-d3ac92dccdc3,0,0,,,,entity,False,,,False,OSEVT_12t_Project,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5966,978,Name,,702ce97c-e808-497f-97e0-c87cc0cd32a5,rtText,50,0,True,False,Protect,Name,,True,2,,
978,OSUSR_12t_Project,Project,113,366126b0-5950-42ee-bf9b-1360a724c6f4,False,False,True,False,False,,bb2bac12-db52-44ce-abc7-d3ac92dccdc3,0,0,,,,entity,False,,,False,OSEVT_12t_Project,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5967,978,KeepClassification,,cc103868-ceb7-44a4-b7d4-211de9547285,rtBoolean,0,0,True,False,Protect,Keep Classification,False,True,3,,
979,OSUSR_12t_ReferenceCategoryItem,ReferenceCategoryItem,113,57d689b9-74f1-40cb-b62e-c63f0174e26a,False,False,True,False,False,,2def2c5e-bbcc-4d5a-9dab-6790557fcda0,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategoryItem,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5968,979,Id,,2def2c5e-bbcc-4d5a-9dab-6790557fcda0,rtLongInteger,0,0,True,True,Protect,Id,,True,0,,
979,OSUSR_12t_ReferenceCategoryItem,ReferenceCategoryItem,113,57d689b9-74f1-40cb-b62e-c63f0174e26a,False,False,True,False,False,,2def2c5e-bbcc-4d5a-9dab-6790557fcda0,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategoryItem,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5969,979,Name,,44f5e8ed-7e21-4f0b-b11e-afa4efa65992,rtText,50,0,True,False,Protect,Name,,True,1,,
979,OSUSR_12t_ReferenceCategoryItem,ReferenceCategoryItem,113,57d689b9-74f1-40cb-b62e-c63f0174e26a,False,False,True,False,False,,2def2c5e-bbcc-4d5a-9dab-6790557fcda0,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategoryItem,,977,OSUSR_12t_ReferenceCategory,ReferenceCategory,113,205923c5-4a4b-4cba-8bd7-5df9d19a726a,False,False,True,False,False,,4a8f2b42-8354-44e1-b558-5b63ab0a0e02,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategory,,5970,979,ReferenceCategoryId,,6afef521-b03c-4d78-b815-fd1080899d26,bt5ef0e4bf-624b-4f2d-ab66-1cc2c6913c4d*205923c5-4a4b-4cba-8bd7-5df9d19a726a,0,0,True,False,Protect,Reference Category,,True,2,,
980,OSUSR_12t_Paper,Paper,113,c2bb378d-cf67-467e-b9c1-f87ead7de07f,False,False,True,False,False,,e753e689-1f3b-41c2-adac-804194febd9d,0,0,,,,entity,False,,,False,OSEVT_12t_Paper,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5971,980,Id,,e753e689-1f3b-41c2-adac-804194febd9d,rtLongInteger,0,0,True,True,Protect,Id,,True,0,,
980,OSUSR_12t_Paper,Paper,113,c2bb378d-cf67-467e-b9c1-f87ead7de07f,False,False,True,False,False,,e753e689-1f3b-41c2-adac-804194febd9d,0,0,,,,entity,False,,,False,OSEVT_12t_Paper,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5972,980,Title,,a61235fb-2eb5-4fcd-8cf6-6d946b1a0b76,rtText,50,0,False,False,Protect,Title,,True,1,,
981,OSUSR_12t_PaperRefCatValue,PaperRefCatValue,113,c2ee2755-309a-4789-8b9e-58282df03335,False,False,True,False,False,,0182d6d1-e4ed-459e-884b-fbe79915a05c,0,0,,,,entity,False,,,False,OSEVT_12t_PaperRefCatValue,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5973,981,Id,,0182d6d1-e4ed-459e-884b-fbe79915a05c,rtLongInteger,0,0,True,True,Protect,Id,,True,0,,
981,OSUSR_12t_PaperRefCatValue,PaperRefCatValue,113,c2ee2755-309a-4789-8b9e-58282df03335,False,False,True,False,False,,0182d6d1-e4ed-459e-884b-fbe79915a05c,0,0,,,,entity,False,,,False,OSEVT_12t_PaperRefCatValue,,980,OSUSR_12t_Paper,Paper,113,c2bb378d-cf67-467e-b9c1-f87ead7de07f,False,False,True,False,False,,e753e689-1f3b-41c2-adac-804194febd9d,0,0,,,,entity,False,,,False,OSEVT_12t_Paper,,5974,981,PaperId,,824f036f-81e2-4880-b5d5-06ea9f6dfc3c,bt5ef0e4bf-624b-4f2d-ab66-1cc2c6913c4d*c2bb378d-cf67-467e-b9c1-f87ead7de07f,0,0,False,False,Protect,Paper,,True,1,,
981,OSUSR_12t_PaperRefCatValue,PaperRefCatValue,113,c2ee2755-309a-4789-8b9e-58282df03335,False,False,True,False,False,,0182d6d1-e4ed-459e-884b-fbe79915a05c,0,0,,,,entity,False,,,False,OSEVT_12t_PaperRefCatValue,,979,OSUSR_12t_ReferenceCategoryItem,ReferenceCategoryItem,113,57d689b9-74f1-40cb-b62e-c63f0174e26a,False,False,True,False,False,,2def2c5e-bbcc-4d5a-9dab-6790557fcda0,0,0,,,,entity,False,,,False,OSEVT_12t_ReferenceCategoryItem,,5975,981,ReferenceCategoryItemId,,5905a9c6-776c-4b24-a561-8ff343984268,bt5ef0e4bf-624b-4f2d-ab66-1cc2c6913c4d*57d689b9-74f1-40cb-b62e-c63f0174e26a,0,0,False,False,Protect,Reference Category Item,,True,2,,
982,OSUSR_12t_SimpleStringField,SimpleStringField,113,cf5ec321-30a7-49b0-8672-0d75eaa39e21,False,False,True,False,False,,d3f7fe06-8bc0-4e05-bf97-e8a6a5429075,0,0,,,,entity,False,,,False,OSEVT_12t_SimpleStringField,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5976,982,Id,,d3f7fe06-8bc0-4e05-bf97-e8a6a5429075,rtLongInteger,0,0,True,True,Protect,Id,,True,0,,
982,OSUSR_12t_SimpleStringField,SimpleStringField,113,cf5ec321-30a7-49b0-8672-0d75eaa39e21,False,False,True,False,False,,d3f7fe06-8bc0-4e05-bf97-e8a6a5429075,0,0,,,,entity,False,,,False,OSEVT_12t_SimpleStringField,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5977,982,Key,,87d2213c-5b7e-40cf-b436-506612a0ed78,rtText,50,0,True,False,Protect,Key,,True,1,,
982,OSUSR_12t_SimpleStringField,SimpleStringField,113,cf5ec321-30a7-49b0-8672-0d75eaa39e21,False,False,True,False,False,,d3f7fe06-8bc0-4e05-bf97-e8a6a5429075,0,0,,,,entity,False,,,False,OSEVT_12t_SimpleStringField,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5978,982,Name,,2f07bffc-ef03-4626-946c-926f5cf859b4,rtText,50,0,True,False,Protect,Name,,True,2,,
982,OSUSR_12t_SimpleStringField,SimpleStringField,113,cf5ec321-30a7-49b0-8672-0d75eaa39e21,False,False,True,False,False,,d3f7fe06-8bc0-4e05-bf97-e8a6a5429075,0,0,,,,entity,False,,,False,OSEVT_12t_SimpleStringField,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5979,982,IsRequired,,d175f17e-e53c-4cfc-870a-a593a1d4f853,rtBoolean,0,0,False,False,Protect,Is Required,False,True,3,,
982,OSUSR_12t_SimpleStringField,SimpleStringField,113,cf5ec321-30a7-49b0-8672-0d75eaa39e21,False,False,True,False,False,,d3f7fe06-8bc0-4e05-bf97-e8a6a5429075,0,0,,,,entity,False,,,False,OSEVT_12t_SimpleStringField,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5980,982,Size,,3d23c44d-865f-42aa-8c25-8e0edf2129f1,rtInteger,0,0,False,False,Protect,Size,50,True,4,,
982,OSUSR_12t_SimpleStringField,SimpleStringField,113,cf5ec321-30a7-49b0-8672-0d75eaa39e21,False,False,True,False,False,,d3f7fe06-8bc0-4e05-bf97-e8a6a5429075,0,0,,,,entity,False,,,False,OSEVT_12t_SimpleStringField,,978,OSUSR_12t_Project,Project,113,366126b0-5950-42ee-bf9b-1360a724c6f4,False,False,True,False,False,,bb2bac12-db52-44ce-abc7-d3ac92dccdc3,0,0,,,,entity,False,,,False,OSEVT_12t_Project,,5981,982,ProjectId,,b84028ef-1b8c-448d-8d77-c32308637653,bt5ef0e4bf-624b-4f2d-ab66-1cc2c6913c4d*366126b0-5950-42ee-bf9b-1360a724c6f4,0,0,True,False,Protect,Project,,True,5,,
983,OSUSR_12t_PaperSimpleValue,PaperSimpleValue,113,d22d9157-4072-4a89-a628-46ef0852d048,False,False,True,False,False,,31674c11-abc7-4e4c-a420-7f0cc6e96ccb,0,0,,,,entity,False,,,False,OSEVT_12t_PaperSimpleValue,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5982,983,Id,,31674c11-abc7-4e4c-a420-7f0cc6e96ccb,rtLongInteger,0,0,True,True,Protect,Id,,True,0,,
983,OSUSR_12t_PaperSimpleValue,PaperSimpleValue,113,d22d9157-4072-4a89-a628-46ef0852d048,False,False,True,False,False,,31674c11-abc7-4e4c-a420-7f0cc6e96ccb,0,0,,,,entity,False,,,False,OSEVT_12t_PaperSimpleValue,,980,OSUSR_12t_Paper,Paper,113,c2bb378d-cf67-467e-b9c1-f87ead7de07f,False,False,True,False,False,,e753e689-1f3b-41c2-adac-804194febd9d,0,0,,,,entity,False,,,False,OSEVT_12t_Paper,,5983,983,PaperId,,b0db604d-2d58-4743-90e6-28292bd608be,bt5ef0e4bf-624b-4f2d-ab66-1cc2c6913c4d*c2bb378d-cf67-467e-b9c1-f87ead7de07f,0,0,False,False,Protect,Paper,,True,1,,
983,OSUSR_12t_PaperSimpleValue,PaperSimpleValue,113,d22d9157-4072-4a89-a628-46ef0852d048,False,False,True,False,False,,31674c11-abc7-4e4c-a420-7f0cc6e96ccb,0,0,,,,entity,False,,,False,OSEVT_12t_PaperSimpleValue,,982,OSUSR_12t_SimpleStringField,SimpleStringField,113,cf5ec321-30a7-49b0-8672-0d75eaa39e21,False,False,True,False,False,,d3f7fe06-8bc0-4e05-bf97-e8a6a5429075,0,0,,,,entity,False,,,False,OSEVT_12t_SimpleStringField,,5984,983,SimpleStringFieldId,,e92effab-1706-4ea7-a851-5a56bbfad710,bt5ef0e4bf-624b-4f2d-ab66-1cc2c6913c4d*cf5ec321-30a7-49b0-8672-0d75eaa39e21,0,0,False,False,Protect,Simple String Field,,True,2,,
983,OSUSR_12t_PaperSimpleValue,PaperSimpleValue,113,d22d9157-4072-4a89-a628-46ef0852d048,False,False,True,False,False,,31674c11-abc7-4e4c-a420-7f0cc6e96ccb,0,0,,,,entity,False,,,False,OSEVT_12t_PaperSimpleValue,,0,,,0,,False,False,False,False,False,,,0,0,,,,,False,,,False,,,5985,983,Value,,f729a84c-0f05-4e15-a27a-0825ab198135,rtText,1024,0,True,False,Protect,Value,,True,3,,
